Category,Item Code,Item Description,Bar Code,Opening,Purchase,Sale,Closing
CAMISOLE,J8315,NON B,100762,0,15,15,0
CAMISOLE,PCH060,PIERRE CARDIN,100805,0,6,6,0
CAMISOLE,NOS249,NON B,100837,0,8,8,0
CAMISOLE,A1305,NON B,100838,0,6,7,-1
CAMISOLE,NOS216,NON B,100839,0,9,9,0
CAMISOLE,NO8089,NON B,100840,0,12,12,0
CAMISOLE,CD705363743,COTTON DANCE,100897,0,15,15,0
CAMISOLE,SH827,NON B,100898,0,4,3,1
CAMISOLE,M1313,NON B,100899,0,7,7,0
CAMISOLE,SH891,NON B,100900,0,6,6,0
CAMISOLE,M1123,NON B,100944,0,12,12,0
CAMISOLE,M1302,NON B,100945,0,19,16,3
CAMISOLE,M1102,NON B,100946,0,86,69,17
CAMISOLE,M1305,NON B,100978,0,6,5,1
CAMISOLE,M1121,NON B,101043,0,3,3,0
CAMISOLE,M1911,NON B,101057,0,11,9,2
CAMISOLE,M1601,NON B,101058,0,20,23,-3
CONTROLING BELT,MF34378,MISSFIT,100113,9,5,14,0
COSPLAYS,GP8370,GALLIPOLI,100330,0,1,1,0
COSPLAYS,GP8392,GALLIPOLI,100331,0,3,3,0
COSPLAYS,GP8200,GALLIPOLI,100332,0,1,1,0
COSPLAYS,GP15502,GALLI POLY,100479,0,5,3,2
COTTON PANTIES,J872B,NON B,101293,0,15,15,0
CROPTOP (STARTER),SHB077,NON BR,100115,12,0,12,0
CROPTOP (STARTER),SH1289,NON BR,100116,3,2,5,0
CROPTOP (STARTER),VG2802,NON BR,100117,6,6,12,0
CROPTOP (STARTER),VG2805,NON BR,100118,8,2,10,0
CROPTOP (STARTER),A444,NON BR,100119,12,0,12,0
CROPTOP (STARTER),A333,NON BR,100120,12,15,27,0
CROPTOP (STARTER),MF1503,MISSFIT,100191,15,0,15,0
CROPTOP (STARTER),VG894,NON BR,100279,0,18,18,0
CROPTOP (STARTER),VG999,NON BR,100280,0,12,12,0
CROPTOP (STARTER),SBC356,SABINA,100344,0,5,5,0
CROPTOP (STARTER),NK5810,NON BR,100480,0,5,5,0
CROPTOP (STARTER),VG2106,NON BR,100481,0,24,24,0
CROPTOP (STARTER),SBC372,SABINA,100500,0,4,4,0
CROPTOP (STARTER),SBG382,SABINA,100569,0,8,8,0
CROPTOP (STARTER),F5121,NON B,100784,0,18,18,0
CROPTOP (STARTER),SBC415,SABINA,100809,0,4,4,0
CROPTOP (STARTER),SBG383,SABINA,100810,0,6,6,0
CROPTOP (STARTER),F5125,NON B,100811,0,9,9,0
CROPTOP (STARTER),F5137,NON B,100812,0,9,9,0
CROPTOP (STARTER),D5130,NON B,100841,0,99,99,0
CROPTOP (STARTER),D815,NON B,100842,0,27,27,0
CROPTOP (STARTER),SBC416,SABINA,100884,0,6,6,0
CROPTOP (STARTER),D6132,NON B,100932,0,10,10,0
CROPTOP (STARTER),D5158,NON B,100933,0,7,7,0
CROPTOP (STARTER),A210,NON B,101106,0,8,8,0
CROPTOP (STARTER),A3313,NON B,101107,0,10,10,0
CROPTOP (STARTER),A2289,NONB,101141,0,25,25,0
CROPTOP (STARTER),A6122,NONB,101142,0,20,20,0
EXTENTIONS,CEX1,CANSOY,100894,0,67,62,5
FRAGRANCES,SUNSET,HUGO BOSS,100017,1,0,1,0
FRAGRANCES,INSPIRATION,LACOSTE,100018,1,0,1,0
FRAGRANCES,TOCADILLY,ROCHAS,100019,2,0,2,0
FRAGRANCES,BEVERLYHILLS,GIORGIO,100020,3,0,3,0
FRAGRANCES,GOLD,CHARLIE,100021,10,0,10,0
FRAGRANCES,EMOTION,PIER CARDIN,100267,0,117,117,0
LACE/SILK PANTIES,CH4974,COTTONHILL,100126,15,26,40,1
LACE/SILK PANTIES,F866,NON B,100836,0,31,29,2
LACE/SILK PANTIES,F201,NON B,100891,0,14,12,2
LACE/SILK PANTIES,J5532BIG,NON B,100915,0,15,14,1
LACE/SILK PANTIES,F376,NON B,100948,0,24,24,0
LACE/SILK PANTIES,K6058,NON B,100949,0,24,19,5
LACE/SILK PANTIES,I8115,NON B,101068,0,6,4,2
LACE/SILK PANTIES,J8846,NON B,101069,0,8,7,1
LACE/SILK PANTIES,LL105269,LADY LYK,101070,0,7,6,1
LACE/SILK PANTIES,I8171,NON B,101072,0,11,11,0
LACE/SILK PANTIES,K6126,NON B,101287,0,12,11,1
LACE/SILK PANTIES,CH4375,COTTON HILL,101288,0,18,13,5
LACE/SILK PANTIES,CD30366,COTTON DANCE,101289,0,10,3,7
LACE/SILK PANTIES,CDK-6,COTTON DANCE,101303,0,12,9,3
LACE/SILK PANTIES,F613,NON B,101314,0,14,6,8
LACE/SILK PANTIES,F6530,NON B,101315,0,12,8,4
LACE/SILK PANTIES,J6661,NON B,101186,0,12,9,3
LACE/SILK PANTIES,B138,NON B,101187,0,14,11,3
LACE/SILK PANTIES,J6140,NON B,101188,0,15,11,4
LACE/SILK PANTIES,CD20650,COTTON DANCE,101206,0,6,6,0
LACE/SILK PANTIES,CD30660,COTTON DANCE,101209,0,6,6,0
LACE/SILK PANTIES,F501,NON B,101316,0,14,8,6
NIGHTIES 3 PCS,NK3882,NON BR,100099,3,0,3,0
NIGHTIES 4 PCS,NK4160,NON BR,100100,4,0,4,0
NIGHTIES CSC,AYDOCAPRI,AYDOGAN,101075,0,5,3,2
NIGHTIES CSC,IP6203,IPEKTEN,101243,0,3,3,0
NIGHTIES CSC,IP6254,IPEKTEN,101244,0,3,3,0
NIGHTIES L+G,NK4006,NON BR,100043,3,0,3,0
NIGHTIES L+G,NK536,NON BR,100044,4,0,4,0
NIGHTIES L+G,NK2120,NON BR,100045,3,0,3,0
NIGHTIES L+G,NK0043,NON BR,100046,3,1,4,0
NIGHTIES L+G,NK0046,NON BR,100047,1,0,1,0
NIGHTIES L+G,NK0060,NON BR,100048,3,0,3,0
NIGHTIES L+G,NK0059,NON BR,100049,4,2,6,0
NIGHTIES L+G,NK2112,NON BR,100050,3,1,4,0
NIGHTIES L+G,NK3864,NON BR,100051,4,3,7,0
NIGHTIES L+G,PC4370,PIER CARDIN,100052,4,3,7,0
NIGHTIES L+G,V2134,VERSACE,100053,4,0,4,0
NIGHTIES L+G,BO6369,BONDY,100054,3,2,5,0
NIGHTIES L+G,BO17228,BONDY,100055,2,0,2,0
NIGHTIES L+G,NL1620,NILAY,100056,6,2,4,4
NIGHTIES L+G,NL1630,NILAY,100057,3,5,6,2
NIGHTIES L+G,NL4360,NILAY,100058,4,0,4,0
NIGHTIES L+G,NK4050,NON BR,100101,2,2,4,0
NIGHTIES L+G,PC4360,PIER CARDIN,100250,0,4,4,0
NIGHTIES L+G,NK0070,NON BR,100292,0,3,3,0
NIGHTIES L+G,NK0066,NON BR,100293,0,5,5,0
NIGHTIES L+G,NK0069,NON BR,100294,0,5,5,0
NIGHTIES L+G,NK3850,NON B,100295,0,10,8,2
NIGHTIES L+G,NK3894,NON BR,100296,0,6,6,0
NIGHTIES L+G,NK3861,NON BR,100297,0,4,4,0
NIGHTIES L+G,NK0078,NON BR,100320,0,3,3,0
NIGHTIES L+G,NK0075,NON BR,100321,0,5,5,0
NIGHTIES L+G,NU5192,NURTEKS,100431,0,13,13,0
NIGHTIES L+G,NU5110,NURTEKS,100432,0,4,3,1
NIGHTIES L+G,NL1320,NILAY,100433,0,3,3,0
NIGHTIES L+G,NK0072,NON B,100449,0,5,6,-1
NIGHTIES L+G,NK0097,NON B,100450,0,21,20,1
NIGHTIES L+G,NK0065,NON BR,100451,0,3,3,0
NIGHTIES L+G,NU5111,NURTEKS,100553,0,11,11,0
NIGHTIES L+G,NK0067,NONB,100554,0,2,2,0
NIGHTIES L+G,R-4115,NONB,100555,0,3,3,0
NIGHTIES L+G,NU5198,NURTEKS,100589,0,14,11,3
NIGHTIES L+G,ES295,ESPUAR,100590,0,3,3,0
NIGHTIES L+G,NK3851,NON B,100591,0,4,4,0
NIGHTIES L+G,NK3860,NON B,100624,0,4,4,0
NIGHTIES L+G,NK0095,NON B,100625,0,10,10,0
NIGHTIES L+G,NK0077,NON B,100626,0,4,3,1
NIGHTIES L+G,NK04,NON B,100627,0,5,5,0
NIGHTIES L+G,NL1540,NILAY,100639,0,3,2,1
NIGHTIES L+G,NK0071,NON B,100766,0,6,5,1
NIGHTIES L+G,NK0074,NON B,100767,0,3,3,0
NIGHTIES L+G,NU5114,NURTEKS,101020,0,1,1,0
NIGHTIES L+G,NU5165,NURTEKS,101021,0,2,2,0
NIGHTIES L+G,L2899,NON B,101024,0,20,17,3
NIGHTIES L+G,L2903,NON B,101025,0,10,5,5
NIGHTIES L+G,NL1880,NILAY,101295,0,5,2,3
NIGHTIES L+G,JR2911,JERMI,101151,0,3,2,1
NIGHTIES L+G,NL1380,NILAY,101152,0,2,0,2
NIGHTIES L+G,IM6203,IMAJ,101180,0,6,4,2
NIGHTIES L+G,FL0113,NON B,101225,0,2,1,1
NIGHTIES L+G,FL0075,NON B,101226,0,3,1,2
NIGHTIES L+G,FL0111,NON B,101235,0,2,0,2
NIGHTIES L+G,JR3039,JEREMI,101337,0,3,2,1
NIGHTIES L+G,NL1870,NILAY,101338,0,3,0,3
NIGHTIES L+G,L826,NON B,101363,0,2,0,2
NIGHTIES LONG,NK6088,NON BR,100022,4,1,5,0
NIGHTIES LONG,NK0063,NON BR,100023,4,2,6,0
NIGHTIES LONG,NK0062,NON BR,100024,4,1,5,0
NIGHTIES LONG,NK0054,NON BR,100025,3,0,3,0
NIGHTIES LONG,NK0035,NON BR,100026,3,0,3,0
NIGHTIES LONG,NK521,NON BR,100027,4,0,4,0
NIGHTIES LONG,NK520,NON BR,100028,4,1,5,0
NIGHTIES LONG,NK2124,NON BR,100029,3,0,3,0
NIGHTIES LONG,NK2118,NON BR,100030,3,0,3,0
NIGHTIES LONG,MAXI584,NON BR,100031,4,0,4,0
NIGHTIES LONG,AYDO6415,AYDOGAN,100032,4,0,4,0
NIGHTIES LONG,BO3375,BONDY,100033,3,1,4,0
NIGHTIES LONG,BO3315,BONDY,100034,3,0,3,0
NIGHTIES LONG,BO3376,BONDY,100035,3,0,3,0
NIGHTIES LONG,BO3373,BONDY,100036,2,1,3,0
NIGHTIES LONG,NBB3973,NBB,100037,2,0,2,0
NIGHTIES LONG,NL356,NILAY,100038,6,3,8,1
NIGHTIES LONG,NL352,NILAY,100039,3,0,3,0
NIGHTIES LONG,NL396,NILAY,100040,5,0,5,0
NIGHTIES LONG,PC917,PIER CARDIN,100042,5,0,5,0
NIGHTIES LONG,NL354,NILAY,100069,3,1,3,1
NIGHTIES LONG,MAXYI1584,NON BR,100251,0,1,1,0
NIGHTIES LONG,BO3388,BONDY,100268,0,7,7,0
NIGHTIES LONG,NK513,NON B,100400,0,4,4,0
NIGHTIES LONG,BO3378,BONDY,100424,0,2,2,0
NIGHTIES LONG,PE3006-U,PERIN,100425,0,3,3,0
NIGHTIES LONG,NK0088,NON BR,100452,0,14,14,0
NIGHTIES LONG,NK0087,NON BR,100453,0,3,3,0
NIGHTIES LONG,NK0061,NON BR,100454,0,4,4,0
NIGHTIES LONG,NK0084,NON BR,100455,0,4,3,1
NIGHTIES LONG,NK66407,NON BR,100456,0,2,2,0
NIGHTIES LONG,NU7166,NURTEKS,100457,0,6,5,1
NIGHTIES LONG,NU7196,NURTEKS,100458,0,5,4,1
NIGHTIES LONG,PC900,PIERE CARDIN,100459,0,5,4,1
NIGHTIES LONG,PC902,PIERE CARDIN,100460,0,3,3,0
NIGHTIES LONG,PE3002U,PERIN,100461,0,3,3,0
NIGHTIES LONG,NK1688,NON B,100521,0,11,9,2
NIGHTIES LONG,NK0086,NONB,100550,0,4,4,0
NIGHTIES LONG,VB1133,VELA BELLA,100570,0,12,5,7
NIGHTIES LONG,NL398,NILAY,100592,0,5,4,1
NIGHTIES LONG,NU7122BIG,NURTEKS,100631,0,4,4,0
NIGHTIES LONG,NK0080,NON B,100652,0,2,2,0
NIGHTIES LONG,NK1190179,NON B,100653,0,2,2,0
NIGHTIES LONG,NK0082,NON B,100660,0,3,3,0
NIGHTIES LONG,NU7122,NURTEKS,100697,0,17,14,3
NIGHTIES LONG,PC903,PIERE CARDIN,100698,0,2,2,0
NIGHTIES LONG,P1190179,NON B,100768,0,2,1,1
NIGHTIES LONG,NK0081,NON B,100769,0,6,6,0
NIGHTIES LONG,NK6407,NON B,100770,0,4,4,0
NIGHTIES LONG,NK0083,NON B,100781,0,1,1,0
NIGHTIES LONG,NU7111,NURTEKS,100902,0,5,3,2
NIGHTIES LONG,BO3006,BONDY,100903,0,3,2,1
NIGHTIES LONG,L8803HS,NON B,100921,0,11,7,4
NIGHTIES LONG,LZF04,NON B,100922,0,12,11,1
NIGHTIES LONG,BO3017,BONDY,100960,0,2,2,0
NIGHTIES LONG,PC4309,PIERE CARDIN,100983,0,1,0,1
NIGHTIES LONG,BO3382,BONDY,101022,0,2,1,1
NIGHTIES LONG,NK1190635,NON B,101087,0,2,2,0
NIGHTIES LONG,DM4229,DIVA MORE,101296,0,3,2,1
NIGHTIES LONG,BO001AST,UN KNOWN,101227,0,1,0,1
NIGHTIES LONG,BO002AST,UN KNOWN,101228,0,1,0,1
NIGHTIES PSC,HHSF0581,HAPPY,100092,8,9,17,0
NIGHTIES PSC,HHS061581,HAPPY,100093,8,6,14,0
NIGHTIES PSC,YIMIX,YENI INCI,100094,12,2,10,4
NIGHTIES PSC,ANHSMIX,ANIL,100096,13,0,13,0
NIGHTIES PSC,USPMIXLP,USPOLO,100097,13,0,13,0
NIGHTIES PSC,AYDOSHORTS,AYDOGAN,100098,2,0,2,0
NIGHTIES PSC,AYDOMIX,AYDOGAN,100301,0,29,28,1
NIGHTIES PSC,AYDOMIXBIG-FS,AYDOGAN,100328,0,2,2,0
NIGHTIES PSC,NBBMIX-FS,NBB,100329,0,13,11,2
NIGHTIES PSC,AYDOFSMIX,AYDOGAN,100381,0,7,7,0
NIGHTIES PSC,HHSO61581,NON B,100410,0,3,3,0
NIGHTIES PSC,HHSFOBIG,NON B,100411,0,9,9,0
NIGHTIES PSC,HHSRNBIG,NON B,100412,0,12,12,0
NIGHTIES PSC,HFSFOBIG,NON B,100413,0,3,3,0
NIGHTIES PSC,HFSRN,HAPPY,100436,0,4,4,0
NIGHTIES PSC,HHSFO581,HAPPY,100477,0,7,7,0
NIGHTIES PSC,DVMIX,DEVINO,100523,0,30,29,1
NIGHTIES PSC,LS384BIG,LADYSHINE,100524,0,12,13,-1
NIGHTIES PSC,AYDOBIG,AYDOGAN,100525,0,1,1,0
NIGHTIES PSC,AN9512,ANIL,100583,0,3,3,0
NIGHTIES PSC,DV2024BIG,DEVINO,100664,0,6,6,0
NIGHTIES PSC,DV2574,DEVINO,100665,0,18,17,1
NIGHTIES PSC,HRN,HAPPY,100704,0,13,13,0
NIGHTIES PSC,HFO,HAPPY,100771,0,6,5,1
NIGHTIES PSC,T200211,TILSIM,100772,0,4,4,0
NIGHTIES PSC,ITMIX,IPEKTEN,100773,0,3,3,0
NIGHTIES PSC,AN9518,ANIL,100782,0,4,4,0
NIGHTIES PSC,F6118,NON B,100783,0,21,21,0
NIGHTIES PSC,AYDOMIXBIG-HS,AYDOGAN,100808,0,7,3,4
NIGHTIES PSC,AN9506,ANIL,100843,0,8,8,0
NIGHTIES PSC,DS13850,DEEP SLEEP,100906,0,3,3,0
NIGHTIES PSC,NBB66014F,NBB,100907,0,2,2,0
NIGHTIES PSC,DV,DEVINO,100908,0,3,3,0
NIGHTIES PSC,L0760,NON B,100916,0,3,3,0
NIGHTIES PSC,L848FO,NON B,100917,0,26,25,1
NIGHTIES PSC,LOO7RN,NON B,100918,0,11,12,-1
NIGHTIES PSC,L138K,NON B,100919,0,8,7,1
NIGHTIES PSC,L831,NON B,100925,0,14,8,6
NIGHTIES PSC,LB1018,LINGA BOOM,100962,0,2,0,2
NIGHTIES PSC,AYDOMIXBIG,AYDOGAN,101003,0,1,1,0
NIGHTIES PSC,LB1006,LINGABOOM,101004,0,2,2,0
NIGHTIES PSC,LB1036,LINGABOOM,101005,0,1,1,0
NIGHTIES PSC,LB1025,LINGABOOM,101006,0,1,1,0
NIGHTIES PSC,LB1001,LINGABOOM,101007,0,3,2,1
NIGHTIES PSC,LB1029,LINGABOOM,101009,0,2,2,0
NIGHTIES PSC,DS13191,DEEP SLEEP,101076,0,2,2,0
NIGHTIES PSC,L007RN,NON B,101082,0,18,16,2
NIGHTIES PSC,AN9510,ANIL,101091,0,1,1,0
NIGHTIES PSC,AN9589,ANIL,101092,0,3,3,0
NIGHTIES PSC,AN9582,ANIL,101093,0,3,2,1
NIGHTIES PSC,AY9324,AYDOGAN,101094,0,3,3,0
NIGHTIES PSC,EL3019BIG,ELITOL,101095,0,3,1,2
NIGHTIES PSC,LS59459BIG,LADY SHINE,101096,0,2,2,0
NIGHTIES PSC,IP618FO,IPEKTEN,101299,0,5,0,5
NIGHTIES PSC,K501,KILLIC,101300,0,4,1,3
NIGHTIES PSC,SM3054,STILL MODA,101301,0,12,11,1
NIGHTIES PSC,EL2097,ELITOL,101157,0,3,3,0
NIGHTIES PSC,IP4762,IPEKTEN,101158,0,3,4,-1
NIGHTIES PSC,AYDO4739B,AYDOGAN,101159,0,7,3,4
NIGHTIES PSC,EL2165B,ELITOL,101160,0,2,2,0
NIGHTIES PSC,SM001,STIL MODA,101169,0,12,12,0
NIGHTIES PSC,SU1048,SUDE,101175,0,4,4,0
NIGHTIES PSC,AYDOMIXFS,AYDOGAN,101176,0,9,8,1
NIGHTIES PSC,EL216539B,ELITOL,101178,0,2,2,0
NIGHTIES PSC,AYDO9041,AYDOGAN,101255,0,4,4,0
NIGHTIES PSC,EL3019B,ELITOL,101257,0,3,1,2
NIGHTIES PSC,EL3016,ELITOL,101245,0,3,2,1
NIGHTIES PSC,EL3061,ELITOL,101246,0,3,3,0
NIGHTIES PSC,AYDO9032,AYDOGAN,101247,0,3,3,0
NIGHTIES PSC,EL3070,ELITOL,101249,0,3,0,3
NIGHTIES PSC,SU1018,SUDE,101325,0,4,0,4
NIGHTIES PSC,SU1016,SUDE,101326,0,3,0,3
NIGHTIES PSC,AN9604,ANIL,101327,0,3,2,1
NIGHTIES PSC,AYDO4466,AYDOGAN,101328,0,2,0,2
NIGHTIES PSC,AYDO4455,AYDOGAN,101329,0,2,0,2
NIGHTIES PSC,LB001,LINGABOOM,101330,0,1,0,1
NIGHTIES PSC,LB1010,LINGABOOM,101331,0,1,0,1
NIGHTIES PSC,LB1007,LINGABOOM,101332,0,1,0,1
NIGHTIES PSC,AYDO16007,AYDOGAN,101333,0,3,0,3
NIGHTIES PSC,AL5739,ALISSA,101366,0,4,0,4
NIGHTIES PSC,AL5721,ALISSA,101367,0,4,1,3
NIGHTIES PSC,AYDO4511,AYDOGAN,101368,0,2,0,2
NIGHTIES PSS,NK0052,NON BR,100081,3,0,3,0
NIGHTIES PSS,NK2113,NON BR,100082,3,0,3,0
NIGHTIES PSS,NK549,NON BR,100083,2,0,2,0
NIGHTIES PSS,NK547,NON BR,100084,4,0,4,0
NIGHTIES PSS,NK2125,NON BR,100085,3,0,3,0
NIGHTIES PSS,V3127,VERSACE,100086,2,0,2,0
NIGHTIES PSS,V3113,VERSACE,100087,3,0,3,0
NIGHTIES PSS,NL1040,NILAY,100088,3,0,3,0
NIGHTIES PSS,NL1150,NILAY,100089,3,1,4,0
NIGHTIES PSS,PC1160,PIERE CARDIN,100090,4,12,14,2
NIGHTIES PSS,PC1140,PIER CARDIN,100091,2,5,7,0
NIGHTIES PSS,NK617,NON BR,100272,0,15,15,0
NIGHTIES PSS,NK612,NON BR,100273,0,10,10,0
NIGHTIES PSS,NK610,NON BR,100274,0,18,17,1
NIGHTIES PSS,NK613,NON BR,100275,0,14,14,0
NIGHTIES PSS,NK615,NON BR,100298,0,12,12,0
NIGHTIES PSS,NK608,NON BR,100299,0,11,11,0
NIGHTIES PSS,NK618,NON BR,100300,0,6,6,0
NIGHTIES PSS,NK611,NON BR,100322,0,10,10,0
NIGHTIES PSS,NU5692,NURTEKS,100362,0,13,13,0
NIGHTIES PSS,NU5909,NURTEKS,100405,0,21,21,0
NIGHTIES PSS,NK644,NON B,100408,0,3,3,0
NIGHTIES PSS,NK801,NON B,100409,0,2,2,0
NIGHTIES PSS,NU5809,NURTEKS,100434,0,3,3,0
NIGHTIES PSS,NU5942,NURTEKS,100435,0,2,2,0
NIGHTIES PSS,RO4159,NON BR,100464,0,3,3,0
NIGHTIES PSS,RO4115,NON BR,100465,0,4,4,0
NIGHTIES PSS,NK638,NON BR,100466,0,3,3,0
NIGHTIES PSS,NK614,NONB,100526,0,3,3,0
NIGHTIES PSS,BO9002,BONDY,100527,0,7,7,0
NIGHTIES PSS,NU5935,NURTEKS,100571,0,1,1,0
NIGHTIES PSS,NU5665,NURTEKS,100634,0,14,14,0
NIGHTIES PSS,NK673,NON B,100635,0,7,7,0
NIGHTIES PSS,NK684,NON B,100636,0,4,4,0
NIGHTIES PSS,NK680,NON B,100637,0,8,8,0
NIGHTIES PSS,NK681,NON B,100638,0,11,11,0
NIGHTIES PSS,NK674,NON B,100640,0,2,2,0
NIGHTIES PSS,NK676,NON B,100655,0,7,7,0
NIGHTIES PSS,NK675,NON B,100656,0,18,18,0
NIGHTIES PSS,NK677,NON B,100692,0,15,15,0
NIGHTIES PSS,NK697,NON B,100693,0,4,4,0
NIGHTIES PSS,NK702,NON B,100821,0,3,3,0
NIGHTIES PSS,NK699,NON B,100822,0,8,8,0
NIGHTIES PSS,JR2910,JEREMI,100851,0,3,3,0
NIGHTIES PSS,NU5919,NURTEKS,100852,0,11,7,4
NIGHTIES PSS,NU5691,NURTEKS,100853,0,4,4,0
NIGHTIES PSS,NU5689,NURTEKS,100854,0,3,3,0
NIGHTIES PSS,FL716,NON B,100855,0,10,9,1
NIGHTIES PSS,NK692,NON B,100856,0,6,6,0
NIGHTIES PSS,NK719,NON B,100923,0,7,6,1
NIGHTIES PSS,G1277,NON B,100924,0,5,5,0
NIGHTIES PSS,NU5675,NURTEKS,100961,0,1,1,0
NIGHTIES PSS,PC1100,PIERE CARDIN,101013,0,3,2,1
NIGHTIES PSS,NU5922,NURTEKS,101015,0,2,1,1
NIGHTIES PSS,NU5656,NURTEKS,101023,0,7,7,0
NIGHTIES PSS,FL719,NON B,101083,0,1,2,-1
NIGHTIES PSS,FL703,NON B,101084,0,3,3,0
NIGHTIES PSS,FL702,NON B,101085,0,1,1,0
NIGHTIES PSS,L2882,NON B,101086,0,14,14,0
NIGHTIES PSS,IM2247,IMAJ,101294,0,3,3,0
NIGHTIES PSS,FL763,NON B,101216,0,6,5,1
NIGHTIES PSS,NK200,NON B,101155,0,1,1,0
NIGHTIES PSS,NU5997,NURTEEKS,101156,0,2,2,0
NIGHTIES PSS,AYDO14054,AYDOGAN,101179,0,3,3,0
NIGHTIES PSS,NU5921,NURTEKS,101183,0,6,6,0
NIGHTIES PSS,FL765,NON B,101270,0,4,2,2
NIGHTIES PSS,FL762,NON B,101217,0,4,3,1
NIGHTIES PSS,FL755,NON B,101220,0,6,3,3
NIGHTIES PSS,FL726,NON B,101221,0,3,3,0
NIGHTIES PSS,FL753,NON B,101222,0,5,1,4
NIGHTIES PSS,FL757,NON B,101224,0,8,4,4
NIGHTIES PSS,SL210,NON B,101233,0,11,10,1
NIGHTIES PSS,AN9606,ANIL,101339,0,4,2,2
NIGHTIES PSS,PC1121,PIERE CARDIN,101340,0,3,1,2
NIGHTIES PSS,FL761,NON B,101341,0,2,1,1
NIGHTIES PSS,FL752,NON B,101373,0,3,0,3
NIGHTIES S+G,NK0053,NON BR,100075,3,3,6,0
NIGHTIES S+G,NK8309,NON BR,100076,4,4,8,0
NIGHTIES S+G,NKAB33,NON BR,100077,3,3,6,0
NIGHTIES S+G,PC4107,PIER CARDIN,100078,3,2,5,0
NIGHTIES S+G,PC4105,PIER CARDIN,100079,6,0,6,0
NIGHTIES S+G,NL1370,NILAY,100080,6,1,5,2
NIGHTIES S+G,NK6511,NON BR,100276,0,4,4,0
NIGHTIES S+G,NKAB-33,NON BR,100319,0,2,2,0
NIGHTIES S+G,NK6318,NON B,100403,0,5,5,0
NIGHTIES S+G,BO9006,BONDY,100429,0,1,1,0
NIGHTIES S+G,NL1480,NILAY,100430,0,3,2,1
NIGHTIES S+G,NK760,NON BR,100448,0,3,3,0
NIGHTIES S+G,VB2164,VELABELLA,100551,0,6,5,1
NIGHTIES S+G,PC4285,PIERECARDIN,100552,0,3,3,0
NIGHTIES S+G,NK1226,NON B,100594,0,10,10,0
NIGHTIES S+G,CR53233,CAROLINE,100595,0,3,3,0
NIGHTIES S+G,CR54222BIG,CAROLINE,100596,0,3,3,0
NIGHTIES S+G,NK628,NONB,100601,0,1,1,0
NIGHTIES S+G,NU5355,NURTEKS,100603,0,19,18,1
NIGHTIES S+G,NK687,NON B,100628,0,3,3,0
NIGHTIES S+G,PC4090,PIERRE CARDIN,100629,0,2,2,0
NIGHTIES S+G,NU5386,NURTEKS,100630,0,1,1,0
NIGHTIES S+G,NK72309,NON B,100650,0,20,18,2
NIGHTIES S+G,NU5344,NURTEKS,100700,0,6,5,1
NIGHTIES S+G,BO6002,BONDY,100701,0,3,1,2
NIGHTIES S+G,NU5396,NURTEKS,100702,0,1,1,0
NIGHTIES S+G,NK689,NON B,100755,0,2,2,0
NIGHTIES S+G,NU5319,NURTEKS,100862,0,6,6,0
NIGHTIES S+G,NU5309,NURTEKS,100863,0,4,2,2
NIGHTIES S+G,NK309,NON B,100864,0,5,5,0
NIGHTIES S+G,PC4201,PIERE CARDIN,100979,0,2,1,1
NIGHTIES S+G,NBB3928,NBB,100981,0,1,1,0
NIGHTIES S+G,NU5332,NURTEKS,100984,0,1,1,0
NIGHTIES S+G,F1187,NON B,101011,0,8,7,1
NIGHTIES S+G,FS8385,NON B,101012,0,3,3,0
NIGHTIES S+G,S8379,NON B,101050,0,4,3,1
NIGHTIES S+G,S8385,NON B,101051,0,5,4,1
NIGHTIES S+G,F1226,NON B,101052,0,6,4,2
NIGHTIES S+G,L92435,NON B,101063,0,6,3,3
NIGHTIES S+G,L2898,NON B,101203,0,10,3,7
NIGHTIES S+G,NL1760,NILAY,101126,0,4,3,1
NIGHTIES S+G,PC4240,PIERRE CARDIN,101127,0,3,3,0
NIGHTIES S+G,NK001,NON B,101128,0,1,1,0
NIGHTIES S+G,S8381,NON B,101129,0,5,2,3
NIGHTIES S+G,S8383,NON B,101148,0,2,1,1
NIGHTIES S+G,NK22309,NON B,101149,0,2,2,0
NIGHTIES S+G,F3036,NON B,101150,0,3,2,1
NIGHTIES S+G,IM6213,IMAJ,101181,0,3,3,0
NIGHTIES S+G,IM6204,IMAJ,101182,0,3,3,0
NIGHTIES S+G,NU5320,NURTEKS,101252,0,3,3,0
NIGHTIES S+G,NU5351,NURTEKS,101253,0,3,1,2
NIGHTIES S+G,PC4025,PIERE CARDIN,101254,0,3,1,2
NIGHTIES S+G,S8371,NON B,101271,0,1,0,1
NIGHTIES S+G,FL747,NON B,101272,0,2,1,1
NIGHTIES S+G,FL748,NON B,101218,0,3,2,1
NIGHTIES S+G,FL750,NON B,101219,0,3,1,2
NIGHTIES S+G,L825,NON B,101317,0,3,0,3
NIGHTIES S+G,PC4170,PIERE CARDIN,101335,0,2,1,1
NIGHTIES S+G,PC4350,PIERE CARDIN,101336,0,1,1,0
NIGHTIES S+G,S6650,NON B,101364,0,2,0,2
NIGHTIES S+G,L76087611,NON B,101365,0,2,0,2
NIGHTIES SHORT,NC1160,NON BR,100059,2,0,2,0
NIGHTIES SHORT,NCA588599,NON BR,100060,12,33,45,0
NIGHTIES SHORT,SH845,NON BR,100061,2,3,5,0
